number,lable,name,length,width,height,length/width,height/length,width/height,AvgCurvature,Ellipticity,Sphericity
1,Vignadula_atrata,DL1,4.065802813,6.727154016,3.417683959,0.604386759,0.84059265,1.968337066,0.154585016,7.331242585,0.79688829
2,Vignadula_atrata,DL12,4.417224884,5.595963001,2.852398038,0.789359201,0.645744356,1.96184506,0.169485213,7.298740766,0.774360666
3,Vignadula_atrata,DL13,2.351955056,5.968850136,4.025392056,0.394038216,1.711508919,1.482799701,0.189654623,7.293684376,0.715899122
4,Vignadula_atrata,DL15,2.650642991,5.889151096,4.486868858,0.450089147,1.692747335,1.312530248,0.132263843,7.297146339,0.772080736
5,Vignadula_atrata,DL17,3.422956109,5.102332115,2.307826072,0.670861095,0.674220176,2.21088243,0.16415561,7.013590818,0.773910633
6,Vignadula_atrata,DL18,3.193324924,7.011728048,4.16902101,0.455426238,1.305542377,1.681864407,0.12515041,7.673579051,0.768511887
7,Vignadula_atrata,DL23,4.416424036,6.662261248,2.989759922,0.662901659,0.676963964,2.228359942,0.139703825,7.494815854,0.779444323
8,Vignadula_atrata,DL5,3.120198011,7.439860106,4.235545158,0.419389339,1.357460374,1.75652952,0.184164436,7.614248321,0.76668948
9,Vignadula_atrata,DL6,4.402333856,6.35841608,2.942794919,0.692363287,0.66846246,2.160672509,0.185668626,7.445335206,0.776071024
10,Vignadula_atrata,DLB6,5.077217102,4.99874711,2.658294082,1.015697932,0.523573057,1.880434202,0.149948255,8.066795234,0.839958531
11,Vignadula_atrata,HLD13,5.524363995,8.382996082,4.402303934,0.658996371,0.796888825,1.904229287,0.121029047,7.997307361,0.85247333
12,Vignadula_atrata,HLD16,4.365459919,7.515069008,3.440000057,0.580894189,0.788004041,2.184613047,0.151248968,7.718423355,0.786420896
13,Vignadula_atrata,HLD17,4.328796864,7.730968952,3.75454092,0.559929407,0.867340519,2.059098334,0.17440771,7.719007726,0.802690353
14,Vignadula_atrata,HLD21,4.312767029,7.630840063,3.971458912,0.565175917,0.920860989,1.921419869,0.152505332,7.786412489,0.813409298
15,Vignadula_atrata,HLD23,4.51208806,7.215135098,3.309149027,0.625364321,0.733396375,2.180359675,0.162209369,7.960562805,0.821142863
16,Vignadula_atrata,HLD6,3.233117938,6.990458012,4.464882851,0.46250445,1.3809836,1.565653175,0.168500405,7.718307508,0.823411448
17,Vignadula_atrata,HLD8,4.658561945,7.631683111,4.111722946,0.610423923,0.882616351,1.856079121,0.125612257,8.015360508,0.85028093
18,Vignadula_atrata,HLD9,3.681671023,7.033832073,3.701493979,0.523423219,1.005384228,1.900268409,0.144636197,7.766046273,0.831392538
19,Vignadula_atrata,HLDB10,2.70369792,5.406584024,3.404299974,0.500075077,1.259127342,1.588163224,0.150820072,7.851646895,0.862137534
20,Vignadula_atrata,HLDB11,3.570109069,5.10236001,2.38775003,0.699697603,0.66881711,2.136890356,0.212338796,7.801997613,0.75461811
21,Vignadula_atrata,HLDB13,2.470502939,4.90143609,2.546304047,0.50403655,1.03068246,1.924921769,0.222738208,7.797426562,0.852070135
